decision_id,constraint_id,constraint_key,subject_org_id,object_org_id,month,edge_id,relation_type,final_status,update_action,original_confidence,final_confidence,reason,patecon_confidence,source_weighted_confidence,violation_rate,auto_filter_status,candidate_level
D_000000011,LLM_MUTEX_0004,06_19_overlap,ORG_000013,ORG_000015,2023-01,E_000003565,06,enabled_for_mark_mixed,mark_mixed,1.0,1.0,实质合作与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。,0.74113,0.73924,0.25887,strong_soft,strong_candidate
D_000000012,LLM_MUTEX_0004,06_19_overlap,ORG_000013,ORG_000015,2023-01,E_000003573,19,enabled_for_mark_mixed,mark_mixed,1.0,1.0,实质合作与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。,0.74113,0.73924,0.25887,strong_soft,strong_candidate
D_000000021,LLM_MUTEX_0010,05_19_overlap,ORG_000013,ORG_000015,2023-01,E_000003564,05,enabled_for_mark_mixed,mark_mixed,1.0,1.0,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000022,LLM_MUTEX_0010,05_19_overlap,ORG_000013,ORG_000015,2023-01,E_000003573,19,enabled_for_mark_mixed,mark_mixed,1.0,1.0,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000033,LLM_MUTEX_0010,05_19_overlap,ORG_000002,ORG_000004,2023-03,E_000075002,05,enabled_for_mark_mixed,mark_mixed,1.0,1.0,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000034,LLM_MUTEX_0010,05_19_overlap,ORG_000002,ORG_000004,2023-03,E_000075007,19,enabled_for_mark_mixed,mark_mixed,0.5946,0.5946,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000039,LLM_MUTEX_0004,06_19_overlap,ORG_000013,ORG_000015,2023-02,E_000040476,06,enabled_for_mark_mixed,mark_mixed,0.6,0.6,实质合作与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。,0.74113,0.73924,0.25887,strong_soft,strong_candidate
D_000000040,LLM_MUTEX_0004,06_19_overlap,ORG_000013,ORG_000015,2023-02,E_000040483,19,enabled_for_mark_mixed,mark_mixed,1.0,1.0,实质合作与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。,0.74113,0.73924,0.25887,strong_soft,strong_candidate
D_000000049,LLM_MUTEX_0010,05_19_overlap,ORG_000013,ORG_000015,2023-02,E_000040475,05,enabled_for_mark_mixed,mark_mixed,0.75,0.75,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000050,LLM_MUTEX_0010,05_19_overlap,ORG_000013,ORG_000015,2023-02,E_000040483,19,enabled_for_mark_mixed,mark_mixed,1.0,1.0,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000063,LLM_MUTEX_0010,05_19_overlap,ORG_000013,ORG_000015,2023-03,E_000078197,05,enabled_for_mark_mixed,mark_mixed,1.0,1.0,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000064,LLM_MUTEX_0010,05_19_overlap,ORG_000013,ORG_000015,2023-03,E_000078204,19,enabled_for_mark_mixed,mark_mixed,1.0,1.0,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000073,LLM_MUTEX_0010,05_19_overlap,ORG_000004,ORG_000013,2023-02,E_000038180,05,enabled_for_mark_mixed,mark_mixed,0.6,0.6,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000074,LLM_MUTEX_0010,05_19_overlap,ORG_000004,ORG_000013,2023-02,E_000038184,19,enabled_for_mark_mixed,mark_mixed,0.5609,0.5609,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000089,LLM_MUTEX_0010,05_19_overlap,ORG_000115,ORG_000069,2023-03,E_000089893,05,enabled_for_mark_mixed,mark_mixed,0.75,0.75,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000090,LLM_MUTEX_0010,05_19_overlap,ORG_000115,ORG_000069,2023-03,E_000089896,19,enabled_for_mark_mixed,mark_mixed,0.4693,0.4693,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000091,LLM_MUTEX_0004,06_19_overlap,ORG_000001,ORG_000079,2023-04,E_000117932,06,enabled_for_mark_mixed,mark_mixed,0.4693,0.4693,实质合作与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。,0.74113,0.73924,0.25887,strong_soft,strong_candidate
D_000000092,LLM_MUTEX_0004,06_19_overlap,ORG_000001,ORG_000079,2023-04,E_000117935,19,enabled_for_mark_mixed,mark_mixed,0.4693,0.4693,实质合作与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。,0.74113,0.73924,0.25887,strong_soft,strong_candidate
D_000000101,LLM_MUTEX_0010,05_19_overlap,ORG_000001,ORG_000079,2023-04,E_000117931,05,enabled_for_mark_mixed,mark_mixed,1.0,1.0,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000102,LLM_MUTEX_0010,05_19_overlap,ORG_000001,ORG_000079,2023-04,E_000117935,19,enabled_for_mark_mixed,mark_mixed,0.4693,0.4693,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000131,LLM_MUTEX_0010,05_19_overlap,ORG_000014,ORG_000001,2023-02,E_000040851,05,enabled_for_mark_mixed,mark_mixed,0.75,0.75,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000132,LLM_MUTEX_0010,05_19_overlap,ORG_000014,ORG_000001,2023-02,E_000040861,19,enabled_for_mark_mixed,mark_mixed,1.0,1.0,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000143,LLM_MUTEX_0010,05_19_overlap,ORG_000001,ORG_000014,2023-02,E_000037078,05,enabled_for_mark_mixed,mark_mixed,0.75,0.75,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000144,LLM_MUTEX_0010,05_19_overlap,ORG_000001,ORG_000014,2023-02,E_000037087,19,enabled_for_mark_mixed,mark_mixed,1.0,1.0,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000155,LLM_MUTEX_0010,05_19_overlap,ORG_000014,ORG_000649,2023-03,E_000078897,05,enabled_for_mark_mixed,mark_mixed,1.0,1.0,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000156,LLM_MUTEX_0010,05_19_overlap,ORG_000014,ORG_000649,2023-03,E_000078899,19,enabled_for_mark_mixed,mark_mixed,0.6599,0.6599,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000173,LLM_MUTEX_0010,05_19_overlap,ORG_000013,ORG_000004,2023-03,E_000078164,05,enabled_for_mark_mixed,mark_mixed,1.0,1.0,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000174,LLM_MUTEX_0010,05_19_overlap,ORG_000013,ORG_000004,2023-03,E_000078172,19,enabled_for_mark_mixed,mark_mixed,0.5946,0.5946,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000193,LLM_MUTEX_0004,06_19_overlap,ORG_000013,ORG_000001,2023-03,E_000078148,06,enabled_for_mark_mixed,mark_mixed,0.4693,0.4693,实质合作与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。,0.74113,0.73924,0.25887,strong_soft,strong_candidate
D_000000194,LLM_MUTEX_0004,06_19_overlap,ORG_000013,ORG_000001,2023-03,E_000078154,19,enabled_for_mark_mixed,mark_mixed,1.0,1.0,实质合作与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。,0.74113,0.73924,0.25887,strong_soft,strong_candidate
D_000000203,LLM_MUTEX_0010,05_19_overlap,ORG_000013,ORG_000001,2023-03,E_000078147,05,enabled_for_mark_mixed,mark_mixed,0.7292,0.7292,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000204,LLM_MUTEX_0010,05_19_overlap,ORG_000013,ORG_000001,2023-03,E_000078154,19,enabled_for_mark_mixed,mark_mixed,1.0,1.0,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000215,LLM_MUTEX_0010,05_19_overlap,ORG_000014,ORG_000001,2023-03,E_000078583,05,enabled_for_mark_mixed,mark_mixed,1.0,1.0,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
D_000000216,LLM_MUTEX_0010,05_19_overlap,ORG_000014,ORG_000001,2023-03,E_000078590,19,enabled_for_mark_mixed,mark_mixed,0.7109,0.7109,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate
