edge_id,subject_org_id,object_org_id,event_month,relation_type,subject_name,object_name,event_count,source_datasets,icews_event_count,gdelt_event_count,confidence,status,confidence_level,confidence_reason,is_derived_relation,_subject,_object,_relation,_month,_subject_name,_object_name,_original_confidence,original_confidence,final_confidence,is_mutex_triggered,after_check_status,update_action,update_reason,triggered_constraint_ids,triggered_constraint_keys,triggered_mutex_relations,check_action,check_reason,triggered_constraints,relation_type_label,event_count_num
E_000021493,ORG_000474,ORG_000043,2023-01,3,BRITAIN,PRINCE,4,GDELT,0,4,0.5609,active,medium,GDELT支持；最终置信度=0.5609,True,ORG_000474,ORG_000043,03,2023-01,BRITAIN,PRINCE,0.5609,0.5609,0.5609,False,keep,keep,,,,,keep,,,表达合作意愿,4
E_000021514,ORG_000477,ORG_000061,2023-01,1,SOUTH CAROLINA,HIGH COURT,4,GDELT,0,4,0.5609,active,medium,GDELT支持；最终置信度=0.5609,True,ORG_000477,ORG_000061,01,2023-01,SOUTH CAROLINA,HIGH COURT,0.5609,0.5609,0.5609,False,keep,keep,,,,,keep,,,公开声明,4
E_000021513,ORG_000477,ORG_000059,2023-01,19,SOUTH CAROLINA,THE ASSOCIATED PRESS,4,GDELT,0,4,0.5609,active,medium,GDELT支持；最终置信度=0.5609,True,ORG_000477,ORG_000059,19,2023-01,SOUTH CAROLINA,THE ASSOCIATED PRESS,0.5609,0.5609,0.5609,False,keep,keep,,,,,keep,,,军事冲突,4
E_000021511,ORG_000477,ORG_000053,2023-01,17,SOUTH CAROLINA,RETIRED,4,GDELT,0,4,0.5609,active,medium,GDELT支持；最终置信度=0.5609,True,ORG_000477,ORG_000053,17,2023-01,SOUTH CAROLINA,RETIRED,0.5609,0.5609,0.5609,False,keep,keep,,,,,keep,,,强制行动,4
E_000021510,ORG_000477,ORG_000017,2023-01,17,SOUTH CAROLINA,SUPREME COURT,4,GDELT,0,4,0.5609,active,medium,GDELT支持；最终置信度=0.5609,True,ORG_000477,ORG_000017,17,2023-01,SOUTH CAROLINA,SUPREME COURT,0.5609,0.5609,0.5609,False,keep,keep,,,,,keep,,,强制行动,4
E_000021504,ORG_000475,ORG_000484,2023-01,3,MONARCH,ADMIRAL,4,GDELT,0,4,0.5609,active,medium,GDELT支持；最终置信度=0.5609,True,ORG_000475,ORG_000484,03,2023-01,MONARCH,ADMIRAL,0.5609,0.5609,0.5609,False,keep,keep,,,,,keep,,,表达合作意愿,4
E_000021502,ORG_000475,ORG_000073,2023-01,4,MONARCH,DEMOCRATIC PARTY,4,GDELT,0,4,0.5609,active,medium,GDELT支持；最终置信度=0.5609,True,ORG_000475,ORG_000073,04,2023-01,MONARCH,DEMOCRATIC PARTY,0.5609,0.5609,0.5609,False,keep,keep,,,,,keep,,,协商磋商,4
E_000021501,ORG_000475,ORG_000067,2023-01,1,MONARCH,COMMANDER,4,GDELT,0,4,0.5609,active,medium,GDELT支持；最终置信度=0.5609,True,ORG_000475,ORG_000067,01,2023-01,MONARCH,COMMANDER,0.5609,0.5609,0.5609,False,keep,keep,,,,,keep,,,公开声明,4
E_000021500,ORG_000475,ORG_000026,2023-01,4,MONARCH,WEBSITE,4,GDELT,0,4,0.5609,active,medium,GDELT支持；最终置信度=0.5609,True,ORG_000475,ORG_000026,04,2023-01,MONARCH,WEBSITE,0.5609,0.5609,0.5609,False,keep,keep,,,,,keep,,,协商磋商,4
E_000021498,ORG_000474,ORG_000748,2023-01,4,BRITAIN,A CABINET MEETING,4,GDELT,0,4,0.5609,active,medium,GDELT支持；最终置信度=0.5609,True,ORG_000474,ORG_000748,04,2023-01,BRITAIN,A CABINET MEETING,0.5609,0.5609,0.5609,False,keep,keep,,,,,keep,,,协商磋商,4
