指标名称,指标值,分子,分母,判断方向,说明
高证据关系保护率,100.00%,8204,8204,越高越好,高证据关系中未被降权或隐藏的比例，反映方法对跨源支持或高置信度关系的保护能力。
低证据异常关系处理率,100.00%,2011,2011,越高越好,触发互斥约束的低证据关系中被 review、mark_mixed、downgrade 或 hide 的比例。
更新影响控制率,91.13%,138112,151557,越高说明越保守,保持 keep 的关系边占全部关系边比例，反映方法是否避免大范围修改图谱。
触发冲突覆盖率,8.87%,13445,151557,适中较好,触发互斥约束的关系边占全部关系边比例，反映约束实际影响范围。
状态变化关系边占比,8.87%,13445,151557,不宜过高,非 keep 关系边占比，反映图谱更新对关系边状态的影响范围。
原始证据保留率,100.00%,151557,151557,越高越好,本文只更新派生关系边状态，不删除 ICEWS/GDELT 原始事件证据，因此该值为 100%。
触发冲突记录数量,9108,9108,,展示指标,满足最终约束触发条件的冲突记录数量，用于展示约束触发规模。
低结构支持约束占比,80.00%,8,10,越低越好；若较高则说明结构筛选必要,自动筛选状态为 weak/review/weak_review 等弱约束的比例。
约束有效筛选率,20.00%,2,10,适中较好,进入自动更新或自动标记阶段的约束占候选约束比例。
平均来源加权置信度,0.7170,,,越高越好,候选约束在来源证据加权后的平均置信度。
平均结构置信度,0.7181,,,越高越好,候选约束在时间区间结构证据上的平均支持程度。
平均违反比例,0.2819,,,越低越好,候选约束在当前图谱中的平均违反比例。
