edge_id,subject_org_id,object_org_id,event_month,relation_type,subject_name,object_name,event_count,source_datasets,icews_event_count,gdelt_event_count,confidence,status,confidence_level,confidence_reason,is_derived_relation,check_action,check_reason,triggered_constraints,manual_is_reasonable,manual_note
E_000122804,ORG_001316,ORG_000034,2023-01,verbal_cooperation,ANGOLAN,EUROPEAN,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000234501,ORG_000634,ORG_000062,2023-01,material_cooperation,ALBERT,THE ASSOCIATED PRESS,2,GDELT,0,2,0.3599,hidden,low,GDELT支持；GDELT单源低证据；最终置信度=0.3599,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000234472,ORG_000617,ORG_000082,2023-01,material_cooperation,MINNEAPOLIS,PUBLICATION,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000299902,ORG_001148,ORG_000007,2023-02,verbal_cooperation,DIRECTV,COMPANY,2,GDELT,0,2,0.3599,hidden,low,GDELT支持；GDELT单源低证据；最终置信度=0.3599,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000267607,ORG_001608,ORG_001821,2023-01,material_cooperation,JAKARTA,SOUTHEAST ASIA,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000192835,ORG_002824,ORG_000064,2023-01,verbal_cooperation,MIGRANT,UKRAINIAN,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000261697,ORG_001461,ORG_000105,2023-01,verbal_cooperation,ANTIGUA AND BARBUDA,EMBASSY,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000236581,ORG_000003,ORG_000516,2023-01,verbal_conflict,GOVERNMENT,VENEZUELA,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000296365,ORG_000037,ORG_000541,2023-02,material_cooperation,CHINA,HOUSTON,2,GDELT,0,2,0.3599,hidden,low,GDELT支持；GDELT单源低证据；最终置信度=0.3599,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000259477,ORG_000268,ORG_000789,2023-01,material_conflict,MEXICAN,VANCOUVER,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000167498,ORG_000110,ORG_002694,2023-01,material_conflict,POLICE CHIEF,ROMAN CATHOLIC,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000275418,ORG_000172,ORG_002994,2023-01,verbal_cooperation,KENYA,THE POPE,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000175870,ORG_000307,ORG_000090,2023-01,material_cooperation,ETHIOPIA,GERMANY,2,GDELT,0,2,0.3599,hidden,low,GDELT支持；GDELT单源低证据；最终置信度=0.3599,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000150065,ORG_005880,ORG_000767,2023-01,verbal_cooperation,SENATE PRESIDENT,WYOMING,2,GDELT,0,2,0.3599,hidden,low,GDELT支持；GDELT单源低证据；最终置信度=0.3599,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000116185,ORG_000004,ORG_000039,2023-01,verbal_conflict,PRESIDENT,PROFESSOR,2,GDELT,0,2,0.3599,hidden,low,GDELT支持；GDELT单源低证据；最终置信度=0.3599,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000304657,ORG_001948,ORG_001219,2023-02,verbal_cooperation,NICOLAS SARKOZY,SILVIO BERLUSCONI,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000125589,ORG_000017,ORG_000155,2023-01,verbal_cooperation,AUTHORITIES,BANGLADESH,2,GDELT,0,2,0.3599,hidden,low,GDELT支持；GDELT单源低证据；最终置信度=0.3599,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000269970,ORG_000005,ORG_000060,2023-02,material_conflict,SCHOOL,CANADA,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000125982,ORG_000031,ORG_006334,2023-01,verbal_cooperation,SENATOR,ASYLUM SEEKER,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000225206,ORG_003989,ORG_002339,2023-01,verbal_cooperation,ADVOCATE,KANNADA,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000212365,ORG_001751,ORG_000001,2023-01,verbal_cooperation,ENERGY CORP,UNITED STATES,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000183658,ORG_000490,ORG_000603,2023-01,material_cooperation,HOSPITAL,OREGON,2,GDELT,0,2,0.3599,hidden,low,GDELT支持；GDELT单源低证据；最终置信度=0.3599,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000191424,ORG_000863,ORG_005508,2023-01,verbal_cooperation,SYDNEY,CASABLANCA,1,GDELT,0,1,0.1693,hidden,low,GDELT支持；事件数量较少；GDELT单源低证据；最终置信度=0.1693,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000228954,ORG_000562,ORG_000065,2023-01,material_conflict,PHOENIX,DEPUTIES,2,GDELT,0,2,0.3599,hidden,low,GDELT支持；GDELT单源低证据；最终置信度=0.3599,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
E_000106438,ORG_000075,ORG_000021,2023-01,material_cooperation,WRITER,INDUSTRY,2,GDELT,0,2,0.3599,hidden,low,GDELT支持；GDELT单源低证据；最终置信度=0.3599,True,hide,GDELT 单源低证据关系，按软约束隐藏。,gdelt_single_source_low_event_count,,
