constraint_id,constraint_key,constraint_name,relation_a,relation_b,scope,forbidden_temporal_relation,comparable_count,non_overlap_count,violation_count,patecon_support_count,patecon_negative_count,patecon_unknown_count,patecon_instantiation_count,patecon_confidence,source_weighted_confidence,violation_rate,entity_support_count,entity_negative_count,entity_unknown_count,entity_instantiation_count,entity_level_confidence,entity_violation_rate,before_count,after_count,meet_count,overlap_count,during_count,contains_count,equal_count,unknown_count,candidate_level,program_candidate_reason,program_recommended_action,llm_hard_or_soft,llm_expected_action,llm_reason,llm_exception,auto_filter_status,auto_final_status,manual_final_status,manual_score,manual_comment,final_status,is_enabled,use_for_update,use_for_review,source,hard_or_soft,enabled,final_decision,final_reason,reason,forbidden_relation,manual_is_reasonable,manual_should_enable,manual_note
LLM_MUTEX_0009,03_11_overlap,03_11_overlap,3,11,same_subject_object,overlap,3810,2756,1054,2756,1054,0,3810,0.72336,0.720119,0.27664,501,740,0,1241,0.403707,0.596293,670,636,1450,0,0,0,1054,0,weak_candidate,合作类关系与反对、拒绝、威胁类关系同月重叠时，可能表示复杂关系，但不宜直接判为硬冲突。,review,soft,review,表达合作意愿与反对批评可能表示复杂关系，但不宜直接判为硬冲突。,表达合作意愿与反对批评可能在外交场合中同时出现，如合作中的分歧表达。,review,review_only,,,,review_only,True,False,True,llm+patecon,soft,True,review,表达合作意愿与反对批评可能表示复杂关系，但不宜直接判为硬冲突。,表达合作意愿与反对批评可能表示复杂关系，但不宜直接判为硬冲突。,overlap,,,
LLM_MUTEX_0002,08_19_overlap,08_19_overlap,8,19,same_subject_object,overlap,1432,1025,407,1025,407,0,1432,0.715782,0.715679,0.284218,181,293,0,474,0.381857,0.618143,244,278,503,0,0,0,407,0,strong_candidate,实质合作、援助或让步与制裁、强制、攻击、战斗等强冲突关系同月重叠时，可能表示复杂或矛盾关系。,mark_mixed_or_downgrade,soft,mark_mixed_or_downgrade,让步妥协与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。,让步妥协与军事冲突可能在某些情况下共存，如和平谈判期间的军事威胁。,review,review_only,,,,review_only,True,False,True,llm+patecon,soft,True,review,让步妥协与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。,让步妥协与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。,overlap,,,
LLM_MUTEX_0006,05_11_overlap,05_11_overlap,5,11,same_subject_object,overlap,5142,3663,1479,3663,1479,0,5142,0.712369,0.710554,0.287631,585,1034,0,1619,0.361334,0.638666,869,870,1924,0,0,0,1479,0,weak_candidate,合作类关系与反对、拒绝、威胁类关系同月重叠时，可能表示复杂关系，但不宜直接判为硬冲突。,review,soft,review,外交合作与反对批评可能表示复杂关系，但不宜直接判为硬冲突。,外交合作与反对批评可能在特定外交场合中同时发生，如合作中的争议性问题。,review,review_only,,,,review_only,True,False,True,llm+patecon,soft,True,review,外交合作与反对批评可能表示复杂关系，但不宜直接判为硬冲突。,外交合作与反对批评可能表示复杂关系，但不宜直接判为硬冲突。,overlap,,,
LLM_MUTEX_0001,08_17_overlap,08_17_overlap,8,17,same_subject_object,overlap,1724,1193,531,1193,531,0,1724,0.691995,0.690783,0.308005,172,401,0,573,0.300175,0.699825,300,296,597,0,0,0,531,0,strong_candidate,实质合作、援助或让步与制裁、强制、攻击、战斗等强冲突关系同月重叠时，可能表示复杂或矛盾关系。,mark_mixed_or_downgrade,soft,mark_mixed_or_downgrade,让步妥协与强制行动通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。,让步妥协与强制行动可能在特定情境下同时发生，如国际关系中的复杂互动。,weak_review,review_only,,,,review_only,True,False,True,llm+patecon,soft,True,review,让步妥协与强制行动通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。,让步妥协与强制行动通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。,overlap,,,
LLM_MUTEX_0008,04_17_overlap,04_17_overlap,4,17,same_subject_object,overlap,3943,2828,1115,2828,1115,0,3943,0.71722,0.716729,0.28278,394,838,0,1232,0.319805,0.680195,766,655,1407,0,0,0,1115,0,weak_candidate,外交表态、协商或外交合作与强制行动、攻击、战斗同月重叠时，通常更适合标记 mixed 或 review，而不是直接隐藏。,mark_mixed,soft,mark_mixed,协商磋商与强制行动可能表示复杂关系，通常更适合标记 mixed 或 review。,协商磋商与强制行动可能在特定情境中同时发生，如外交压力下的强制措施。,review,review_only,,,,review_only,True,False,True,llm+patecon,soft,True,review,协商磋商与强制行动可能表示复杂关系，通常更适合标记 mixed 或 review。,协商磋商与强制行动可能表示复杂关系，通常更适合标记 mixed 或 review。,overlap,,,
LLM_MUTEX_0003,07_19_overlap,07_19_overlap,7,19,same_subject_object,overlap,818,584,234,584,234,0,818,0.713936,0.713817,0.286064,114,186,0,300,0.38,0.62,114,152,318,0,0,0,234,0,strong_candidate,实质合作、援助或让步与制裁、强制、攻击、战斗等强冲突关系同月重叠时，可能表示复杂或矛盾关系。,mark_mixed_or_downgrade,soft,mark_mixed_or_downgrade,提供援助与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。,提供援助与军事冲突可能在特定背景下同时发生，如人道主义援助与战争环境下的冲突。,review,review_only,,,,review_only,True,False,True,llm+patecon,soft,True,review,提供援助与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。,提供援助与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。,overlap,,,
LLM_MUTEX_0010,05_19_overlap,05_19_overlap,5,19,same_subject_object,overlap,2259,1640,619,1640,619,0,2259,0.725985,0.724169,0.274015,275,450,0,725,0.37931,0.62069,394,441,805,0,0,0,619,0,weak_candidate,外交表态、协商或外交合作与强制行动、攻击、战斗同月重叠时，通常更适合标记 mixed 或 review，而不是直接隐藏。,mark_mixed,soft,mark_mixed,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,外交合作与军事冲突可能在特定情境中同时发生，如合作中的军事对抗。,mixed_candidate,enabled_for_mark_mixed,,,,enabled_for_mark_mixed,True,True,True,llm+patecon,soft,True,enabled_mark_complex,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,overlap,,,
LLM_MUTEX_0005,04_11_overlap,04_11_overlap,4,11,same_subject_object,overlap,8186,5893,2293,5893,2293,0,8186,0.719888,0.716892,0.280112,899,1644,0,2543,0.353519,0.646481,1488,1360,3045,0,0,0,2293,0,weak_candidate,合作类关系与反对、拒绝、威胁类关系同月重叠时，可能表示复杂关系，但不宜直接判为硬冲突。,review,soft,review,协商磋商与反对批评可能表示复杂关系，但不宜直接判为硬冲突。,协商磋商与反对批评可能在外交场合中同时出现，如谈判中的分歧表达。,review,review_only,,,,review_only,True,False,True,llm+patecon,soft,True,review,协商磋商与反对批评可能表示复杂关系，但不宜直接判为硬冲突。,协商磋商与反对批评可能表示复杂关系，但不宜直接判为硬冲突。,overlap,,,
LLM_MUTEX_0004,06_19_overlap,06_19_overlap,6,19,same_subject_object,overlap,761,564,197,564,197,0,761,0.74113,0.73924,0.25887,122,154,0,276,0.442029,0.557971,144,142,278,0,0,0,197,0,strong_candidate,实质合作、援助或让步与制裁、强制、攻击、战斗等强冲突关系同月重叠时，可能表示复杂或矛盾关系。,mark_mixed_or_downgrade,soft,mark_mixed_or_downgrade,实质合作与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。,实质合作与军事冲突可能在特定情境中同时存在，如战后重建阶段的合作。,strong_soft,enabled_for_mark_mixed,,,,enabled_for_mark_mixed,True,True,True,llm+patecon,soft,True,enabled_mark_complex,实质合作与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。,实质合作与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。,overlap,,,
LLM_MUTEX_0007,04_19_overlap,04_19_overlap,4,19,same_subject_object,overlap,4038,2905,1133,2905,1133,0,4038,0.719416,0.721743,0.280584,406,839,0,1245,0.326104,0.673896,705,740,1460,0,0,0,1133,0,weak_candidate,外交表态、协商或外交合作与强制行动、攻击、战斗同月重叠时，通常更适合标记 mixed 或 review，而不是直接隐藏。,mark_mixed,soft,mark_mixed,协商磋商与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,协商磋商与军事冲突可能在特定情境中同时发生，如和平谈判期间的军事行动。,review,review_only,,,,review_only,True,False,True,llm+patecon,soft,True,review,协商磋商与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,协商磋商与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,overlap,,,
