conflict_id,constraint_id,constraint_key,constraint_name,subject_org_id,object_org_id,month,relation_a,relation_b,edge_ids_a,edge_ids_b,final_status,conflict_action,expected_action,patecon_confidence,source_weighted_confidence,violation_rate,auto_filter_status,candidate_level,reason
C_000000006,LLM_MUTEX_0004,06_19_overlap,06_19_overlap,ORG_000013,ORG_000015,2023-01,06,19,E_000003565,E_000003573,enabled_for_mark_mixed,mark_mixed,mark_mixed_or_downgrade,0.74113,0.73924,0.25887,strong_soft,strong_candidate,实质合作与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。
C_000000011,LLM_MUTEX_0010,05_19_overlap,05_19_overlap,ORG_000013,ORG_000015,2023-01,05,19,E_000003564,E_000003573,enabled_for_mark_mixed,mark_mixed,mark_mixed,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。
C_000000017,LLM_MUTEX_0010,05_19_overlap,05_19_overlap,ORG_000002,ORG_000004,2023-03,05,19,E_000075002,E_000075007,enabled_for_mark_mixed,mark_mixed,mark_mixed,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。
C_000000020,LLM_MUTEX_0004,06_19_overlap,06_19_overlap,ORG_000013,ORG_000015,2023-02,06,19,E_000040476,E_000040483,enabled_for_mark_mixed,mark_mixed,mark_mixed_or_downgrade,0.74113,0.73924,0.25887,strong_soft,strong_candidate,实质合作与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。
C_000000025,LLM_MUTEX_0010,05_19_overlap,05_19_overlap,ORG_000013,ORG_000015,2023-02,05,19,E_000040475,E_000040483,enabled_for_mark_mixed,mark_mixed,mark_mixed,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。
C_000000032,LLM_MUTEX_0010,05_19_overlap,05_19_overlap,ORG_000013,ORG_000015,2023-03,05,19,E_000078197,E_000078204,enabled_for_mark_mixed,mark_mixed,mark_mixed,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。
C_000000037,LLM_MUTEX_0010,05_19_overlap,05_19_overlap,ORG_000004,ORG_000013,2023-02,05,19,E_000038180,E_000038184,enabled_for_mark_mixed,mark_mixed,mark_mixed,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。
C_000000045,LLM_MUTEX_0010,05_19_overlap,05_19_overlap,ORG_000115,ORG_000069,2023-03,05,19,E_000089893,E_000089896,enabled_for_mark_mixed,mark_mixed,mark_mixed,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。
C_000000046,LLM_MUTEX_0004,06_19_overlap,06_19_overlap,ORG_000001,ORG_000079,2023-04,06,19,E_000117932,E_000117935,enabled_for_mark_mixed,mark_mixed,mark_mixed_or_downgrade,0.74113,0.73924,0.25887,strong_soft,strong_candidate,实质合作与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。
C_000000051,LLM_MUTEX_0010,05_19_overlap,05_19_overlap,ORG_000001,ORG_000079,2023-04,05,19,E_000117931,E_000117935,enabled_for_mark_mixed,mark_mixed,mark_mixed,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。
C_000000066,LLM_MUTEX_0010,05_19_overlap,05_19_overlap,ORG_000014,ORG_000001,2023-02,05,19,E_000040851,E_000040861,enabled_for_mark_mixed,mark_mixed,mark_mixed,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。
C_000000072,LLM_MUTEX_0010,05_19_overlap,05_19_overlap,ORG_000001,ORG_000014,2023-02,05,19,E_000037078,E_000037087,enabled_for_mark_mixed,mark_mixed,mark_mixed,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。
C_000000078,LLM_MUTEX_0010,05_19_overlap,05_19_overlap,ORG_000014,ORG_000649,2023-03,05,19,E_000078897,E_000078899,enabled_for_mark_mixed,mark_mixed,mark_mixed,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。
C_000000087,LLM_MUTEX_0010,05_19_overlap,05_19_overlap,ORG_000013,ORG_000004,2023-03,05,19,E_000078164,E_000078172,enabled_for_mark_mixed,mark_mixed,mark_mixed,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。
C_000000097,LLM_MUTEX_0004,06_19_overlap,06_19_overlap,ORG_000013,ORG_000001,2023-03,06,19,E_000078148,E_000078154,enabled_for_mark_mixed,mark_mixed,mark_mixed_or_downgrade,0.74113,0.73924,0.25887,strong_soft,strong_candidate,实质合作与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。
C_000000102,LLM_MUTEX_0010,05_19_overlap,05_19_overlap,ORG_000013,ORG_000001,2023-03,05,19,E_000078147,E_000078154,enabled_for_mark_mixed,mark_mixed,mark_mixed,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。
C_000000108,LLM_MUTEX_0010,05_19_overlap,05_19_overlap,ORG_000014,ORG_000001,2023-03,05,19,E_000078583,E_000078590,enabled_for_mark_mixed,mark_mixed,mark_mixed,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。
C_000000114,LLM_MUTEX_0010,05_19_overlap,05_19_overlap,ORG_000013,ORG_000015,2023-04,05,19,E_000122007,E_000122014,enabled_for_mark_mixed,mark_mixed,mark_mixed,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。
C_000000122,LLM_MUTEX_0004,06_19_overlap,06_19_overlap,ORG_000015,ORG_000013,2023-01,06,19,E_000004216,E_000004224,enabled_for_mark_mixed,mark_mixed,mark_mixed_or_downgrade,0.74113,0.73924,0.25887,strong_soft,strong_candidate,实质合作与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。
C_000000127,LLM_MUTEX_0010,05_19_overlap,05_19_overlap,ORG_000015,ORG_000013,2023-01,05,19,E_000004215,E_000004224,enabled_for_mark_mixed,mark_mixed,mark_mixed,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。
C_000000128,LLM_MUTEX_0004,06_19_overlap,06_19_overlap,ORG_000001,ORG_000014,2023-03,06,19,E_000074084,E_000074090,enabled_for_mark_mixed,mark_mixed,mark_mixed_or_downgrade,0.74113,0.73924,0.25887,strong_soft,strong_candidate,实质合作与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。
C_000000133,LLM_MUTEX_0010,05_19_overlap,05_19_overlap,ORG_000001,ORG_000014,2023-03,05,19,E_000074083,E_000074090,enabled_for_mark_mixed,mark_mixed,mark_mixed,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。
C_000000166,LLM_MUTEX_0010,05_19_overlap,05_19_overlap,ORG_000001,ORG_000013,2023-03,05,19,E_000074066,E_000074078,enabled_for_mark_mixed,mark_mixed,mark_mixed,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。
C_000000168,LLM_MUTEX_0004,06_19_overlap,06_19_overlap,ORG_000030,ORG_000015,2023-04,06,19,E_000125611,E_000125615,enabled_for_mark_mixed,mark_mixed,mark_mixed_or_downgrade,0.74113,0.73924,0.25887,strong_soft,strong_candidate,实质合作与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。
C_000000170,LLM_MUTEX_0010,05_19_overlap,05_19_overlap,ORG_000030,ORG_000015,2023-04,05,19,E_000125610,E_000125615,enabled_for_mark_mixed,mark_mixed,mark_mixed,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。
C_000000172,LLM_MUTEX_0010,05_19_overlap,05_19_overlap,ORG_000015,ORG_000016,2023-02,05,19,E_000041241,E_000041242,enabled_for_mark_mixed,mark_mixed,mark_mixed,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。
C_000000178,LLM_MUTEX_0010,05_19_overlap,05_19_overlap,ORG_000015,ORG_000013,2023-02,05,19,E_000041228,E_000041233,enabled_for_mark_mixed,mark_mixed,mark_mixed,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。
C_000000182,LLM_MUTEX_0010,05_19_overlap,05_19_overlap,ORG_000092,ORG_000014,2023-04,05,19,E_000131572,E_000131573,enabled_for_mark_mixed,mark_mixed,mark_mixed,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。
C_000000185,LLM_MUTEX_0010,05_19_overlap,05_19_overlap,ORG_000015,ORG_000052,2023-02,05,19,E_000041295,E_000041297,enabled_for_mark_mixed,mark_mixed,mark_mixed,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。
C_000000191,LLM_MUTEX_0010,05_19_overlap,05_19_overlap,ORG_000072,ORG_000113,2023-03,05,19,E_000086989,E_000086994,enabled_for_mark_mixed,mark_mixed,mark_mixed,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。
C_000000195,LLM_MUTEX_0004,06_19_overlap,06_19_overlap,ORG_000015,ORG_000013,2023-03,06,19,E_000079071,E_000079077,enabled_for_mark_mixed,mark_mixed,mark_mixed_or_downgrade,0.74113,0.73924,0.25887,strong_soft,strong_candidate,实质合作与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。
C_000000200,LLM_MUTEX_0010,05_19_overlap,05_19_overlap,ORG_000015,ORG_000013,2023-03,05,19,E_000079070,E_000079077,enabled_for_mark_mixed,mark_mixed,mark_mixed,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。
C_000000208,LLM_MUTEX_0010,05_19_overlap,05_19_overlap,ORG_000013,ORG_000004,2023-02,05,19,E_000040452,E_000040456,enabled_for_mark_mixed,mark_mixed,mark_mixed,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。
C_000000214,LLM_MUTEX_0010,05_19_overlap,05_19_overlap,ORG_000018,ORG_000183,2023-04,05,19,E_000123470,E_000123474,enabled_for_mark_mixed,mark_mixed,mark_mixed,0.725985,0.724169,0.274015,mixed_candidate,weak_candidate,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。
