edge_id,subject_org_id,object_org_id,event_month,relation_type,subject_name,object_name,event_count,source_datasets,icews_event_count,gdelt_event_count,confidence,status
E_000000102,ORG_000001,ORG_000013,2023-01,01,United States,Russia,24,GDELT;ICEWS,14,10,0.7,active
E_000000105,ORG_000001,ORG_000013,2023-01,04,United States,Russia,8,GDELT;ICEWS,2,6,0.7,active
E_000000108,ORG_000001,ORG_000013,2023-01,09,United States,Russia,5,GDELT;ICEWS,1,4,0.7,active
E_000000110,ORG_000001,ORG_000013,2023-01,12,United States,Russia,5,GDELT;ICEWS,1,4,0.7,active
E_000000113,ORG_000001,ORG_000014,2023-01,01,United States,China,7,GDELT;ICEWS,5,2,0.7,active
E_000000124,ORG_000001,ORG_000015,2023-01,01,United States,Ukraine,23,GDELT;ICEWS,21,2,0.7,active
E_000000126,ORG_000001,ORG_000015,2023-01,03,United States,Ukraine,39,GDELT;ICEWS,37,2,0.7,active
E_000000127,ORG_000001,ORG_000015,2023-01,04,United States,Ukraine,18,GDELT;ICEWS,10,8,0.7,active
E_000000129,ORG_000001,ORG_000015,2023-01,07,United States,Ukraine,37,GDELT;ICEWS,35,2,0.7,active
E_000000136,ORG_000001,ORG_000016,2023-01,04,United States,United Kingdom,17,GDELT;ICEWS,1,16,0.7,active
E_000000150,ORG_000001,ORG_000018,2023-01,04,United States,Israel,20,GDELT;ICEWS,4,16,0.7,active
E_000000151,ORG_000001,ORG_000018,2023-01,05,United States,Israel,4,GDELT;ICEWS,2,2,0.7,active
E_000000168,ORG_000001,ORG_000024,2023-01,04,United States,United Nations,17,GDELT;ICEWS,1,16,0.7,active
E_000000266,ORG_000001,ORG_000054,2023-01,04,United States,Canada,9,GDELT;ICEWS,7,2,0.7,active
E_000000305,ORG_000001,ORG_000062,2023-01,01,United States,Australia,3,GDELT;ICEWS,1,2,0.7,active
E_000000312,ORG_000001,ORG_000069,2023-01,01,United States,Iran,9,GDELT;ICEWS,5,4,0.7,active
E_000000314,ORG_000001,ORG_000069,2023-01,04,United States,Iran,6,GDELT;ICEWS,2,4,0.7,active
E_000000333,ORG_000001,ORG_000072,2023-01,04,United States,Japan,25,GDELT;ICEWS,21,4,0.7,active
E_000000391,ORG_000001,ORG_000097,2023-01,03,United States,Turkey,3,GDELT;ICEWS,1,2,0.7,active
E_000000392,ORG_000001,ORG_000097,2023-01,04,United States,Turkey,5,GDELT;ICEWS,3,2,0.7,active
E_000000398,ORG_000001,ORG_000098,2023-01,05,United States,Germany,8,GDELT;ICEWS,6,2,0.7,active
E_000000427,ORG_000001,ORG_000106,2023-01,10,United States,Brazil,3,GDELT;ICEWS,1,2,0.7,active
E_000000503,ORG_000001,ORG_000161,2023-01,01,United States,Armenia,5,GDELT;ICEWS,1,4,0.7,active
E_000000514,ORG_000001,ORG_000170,2023-01,04,United States,Egypt,3,GDELT;ICEWS,1,2,0.7,active
E_000000696,ORG_000001,ORG_000480,2023-01,05,United States,Lithuania,4,GDELT;ICEWS,2,2,0.7,active
E_000000707,ORG_000001,ORG_000519,2023-01,05,United States,Malawi,7,GDELT;ICEWS,1,6,0.7,active
E_000000930,ORG_000002,ORG_000004,2023-01,02,Xi Jinping,Vladimir Putin,3,GDELT;ICEWS,1,2,0.7,active
E_000000932,ORG_000002,ORG_000004,2023-01,04,Xi Jinping,Vladimir Putin,8,GDELT;ICEWS,2,6,0.7,active
E_000000940,ORG_000002,ORG_000014,2023-01,03,Xi Jinping,China,3,GDELT;ICEWS,1,2,0.7,active
E_000000941,ORG_000002,ORG_000014,2023-01,04,Xi Jinping,China,26,GDELT;ICEWS,4,22,0.7,active
