edge_id,subject_org_id,object_org_id,event_month,relation_type,subject_name,object_name,event_count,source_datasets,icews_event_count,gdelt_event_count,confidence,status,confidence_level,confidence_reason,is_derived_relation,_subject,_object,_relation,_month,_subject_name,_object_name,_original_confidence,original_confidence,final_confidence,is_mutex_triggered,after_check_status,update_action,update_reason,triggered_constraint_ids,triggered_constraint_keys,triggered_mutex_relations,check_action,check_reason,triggered_constraints,relation_type_label
E_000003573,ORG_000013,ORG_000015,2023-01,19,Russia,Ukraine,419,GDELT;ICEWS,395,24,1.0,active,high,ICEWS支持；GDELT支持；跨源共同支持；最终置信度=1.0,True,ORG_000013,ORG_000015,19,2023-01,Russia,Ukraine,1.0,1.0,1.0,True,mark_mixed,mark_mixed,让步妥协与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。;提供援助与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。;实质合作与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。;协商磋商与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。;外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,LLM_MUTEX_0002;LLM_MUTEX_0003;LLM_MUTEX_0004;LLM_MUTEX_0007;LLM_MUTEX_0010,08_19_overlap;07_19_overlap;06_19_overlap;04_19_overlap;05_19_overlap,08-19;07-19;06-19;04-19;05-19,mark_complex,让步妥协与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。;提供援助与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。;实质合作与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。;协商磋商与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。;外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,08_19_overlap;07_19_overlap;06_19_overlap;04_19_overlap;05_19_overlap,军事冲突
E_000040483,ORG_000013,ORG_000015,2023-02,19,Russia,Ukraine,386,GDELT;ICEWS,366,20,1.0,active,high,ICEWS支持；GDELT支持；跨源共同支持；最终置信度=1.0,True,ORG_000013,ORG_000015,19,2023-02,Russia,Ukraine,1.0,1.0,1.0,True,mark_mixed,mark_mixed,让步妥协与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。;提供援助与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。;实质合作与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。;协商磋商与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。;外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,LLM_MUTEX_0002;LLM_MUTEX_0003;LLM_MUTEX_0004;LLM_MUTEX_0007;LLM_MUTEX_0010,08_19_overlap;07_19_overlap;06_19_overlap;04_19_overlap;05_19_overlap,08-19;07-19;06-19;04-19;05-19,mark_complex,让步妥协与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。;提供援助与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。;实质合作与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。;协商磋商与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。;外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,08_19_overlap;07_19_overlap;06_19_overlap;04_19_overlap;05_19_overlap,军事冲突
E_000078204,ORG_000013,ORG_000015,2023-03,19,Russia,Ukraine,359,GDELT;ICEWS,331,28,1.0,active,high,ICEWS支持；GDELT支持；跨源共同支持；最终置信度=1.0,True,ORG_000013,ORG_000015,19,2023-03,Russia,Ukraine,1.0,1.0,1.0,True,mark_mixed,mark_mixed,让步妥协与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。;提供援助与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。;协商磋商与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。;外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,LLM_MUTEX_0002;LLM_MUTEX_0003;LLM_MUTEX_0007;LLM_MUTEX_0010,08_19_overlap;07_19_overlap;04_19_overlap;05_19_overlap,08-19;07-19;04-19;05-19,mark_complex,让步妥协与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。;提供援助与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。;协商磋商与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。;外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,08_19_overlap;07_19_overlap;04_19_overlap;05_19_overlap,军事冲突
E_000037087,ORG_000001,ORG_000014,2023-02,19,United States,China,75,GDELT;ICEWS,73,2,1.0,active,high,ICEWS支持；GDELT支持；跨源共同支持；最终置信度=1.0,True,ORG_000001,ORG_000014,19,2023-02,United States,China,1.0,1.0,1.0,True,mark_mixed,mark_mixed,提供援助与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。;协商磋商与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。;外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,LLM_MUTEX_0003;LLM_MUTEX_0007;LLM_MUTEX_0010,07_19_overlap;04_19_overlap;05_19_overlap,07-19;04-19;05-19,mark_complex,提供援助与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。;协商磋商与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。;外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,07_19_overlap;04_19_overlap;05_19_overlap,军事冲突
E_000075002,ORG_000002,ORG_000004,2023-03,5,Xi Jinping,Vladimir Putin,72,GDELT;ICEWS,40,32,1.0,active,high,ICEWS支持；GDELT支持；跨源共同支持；最终置信度=1.0,True,ORG_000002,ORG_000004,05,2023-03,Xi Jinping,Vladimir Putin,1.0,1.0,1.0,True,mark_mixed,mark_mixed,外交合作与反对批评可能表示复杂关系，但不宜直接判为硬冲突。;外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,LLM_MUTEX_0006;LLM_MUTEX_0010,05_11_overlap;05_19_overlap,05-11;05-19,mark_complex,外交合作与反对批评可能表示复杂关系，但不宜直接判为硬冲突。;外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,05_11_overlap;05_19_overlap,外交合作
E_000078897,ORG_000014,ORG_000649,2023-03,5,China,Honduras,70,GDELT;ICEWS,58,12,1.0,active,high,ICEWS支持；GDELT支持；跨源共同支持；最终置信度=1.0,True,ORG_000014,ORG_000649,05,2023-03,China,Honduras,1.0,1.0,1.0,True,mark_mixed,mark_mixed,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,LLM_MUTEX_0010,05_19_overlap,05-19,mark_complex,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,05_19_overlap,外交合作
E_000122014,ORG_000013,ORG_000015,2023-04,19,Russia,Ukraine,68,GDELT;ICEWS,54,14,1.0,active,high,ICEWS支持；GDELT支持；跨源共同支持；最终置信度=1.0,True,ORG_000013,ORG_000015,19,2023-04,Russia,Ukraine,1.0,1.0,1.0,True,mark_mixed,mark_mixed,让步妥协与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。;提供援助与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。;协商磋商与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。;外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,LLM_MUTEX_0002;LLM_MUTEX_0003;LLM_MUTEX_0007;LLM_MUTEX_0010,08_19_overlap;07_19_overlap;04_19_overlap;05_19_overlap,08-19;07-19;04-19;05-19,mark_complex,让步妥协与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。;提供援助与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。;协商磋商与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。;外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,08_19_overlap;07_19_overlap;04_19_overlap;05_19_overlap,军事冲突
E_000004224,ORG_000015,ORG_000013,2023-01,19,Ukraine,Russia,54,GDELT;ICEWS,50,4,1.0,active,high,ICEWS支持；GDELT支持；跨源共同支持；最终置信度=1.0,True,ORG_000015,ORG_000013,19,2023-01,Ukraine,Russia,1.0,1.0,1.0,True,mark_mixed,mark_mixed,让步妥协与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。;实质合作与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。;协商磋商与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。;外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,LLM_MUTEX_0002;LLM_MUTEX_0004;LLM_MUTEX_0007;LLM_MUTEX_0010,08_19_overlap;06_19_overlap;04_19_overlap;05_19_overlap,08-19;06-19;04-19;05-19,mark_complex,让步妥协与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。;实质合作与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。;协商磋商与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。;外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,08_19_overlap;06_19_overlap;04_19_overlap;05_19_overlap,军事冲突
E_000125610,ORG_000030,ORG_000015,2023-04,5,North Atlantic Treaty Organization,Ukraine,53,GDELT;ICEWS,5,48,1.0,active,high,ICEWS支持；GDELT支持；跨源共同支持；最终置信度=1.0,True,ORG_000030,ORG_000015,05,2023-04,North Atlantic Treaty Organization,Ukraine,1.0,1.0,1.0,True,mark_mixed,mark_mixed,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,LLM_MUTEX_0010,05_19_overlap,05-19,mark_complex,外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,05_19_overlap,外交合作
E_000123474,ORG_000018,ORG_000183,2023-04,19,Israel,Hamas,44,GDELT;ICEWS,6,38,1.0,active,high,ICEWS支持；GDELT支持；跨源共同支持；最终置信度=1.0,True,ORG_000018,ORG_000183,19,2023-04,Israel,Hamas,1.0,1.0,1.0,True,mark_mixed,mark_mixed,协商磋商与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。;外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,LLM_MUTEX_0007;LLM_MUTEX_0010,04_19_overlap;05_19_overlap,04-19;05-19,mark_complex,协商磋商与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。;外交合作与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。,04_19_overlap;05_19_overlap,军事冲突
