conflict_id,constraint_id,constraint_key,constraint_name,subject_org_id,object_org_id,month,relation_a,relation_b,edge_ids_a,edge_ids_b,final_status,conflict_action,expected_action,patecon_confidence,source_weighted_confidence,violation_rate,auto_filter_status,candidate_level,reason
C_000000001,LLM_MUTEX_0005,04_11_overlap,04_11_overlap,ORG_000004,ORG_000002,2023-03,04,11,E_000075448,E_000075451,review_only,review,review,0.719888,0.716892,0.280112,review,,协商磋商与反对批评可能表示复杂关系，但不宜直接判为硬冲突。
C_000000002,LLM_MUTEX_0006,05_11_overlap,05_11_overlap,ORG_000004,ORG_000002,2023-03,05,11,E_000075449,E_000075451,review_only,review,review,0.712369,0.710554,0.287631,review,,外交合作与反对批评可能表示复杂关系，但不宜直接判为硬冲突。
C_000000003,LLM_MUTEX_0009,03_11_overlap,03_11_overlap,ORG_000004,ORG_000002,2023-03,03,11,E_000075447,E_000075451,review_only,review,review,0.72336,0.720119,0.27664,review,,表达合作意愿与反对批评可能表示复杂关系，但不宜直接判为硬冲突。
C_000000004,LLM_MUTEX_0002,08_19_overlap,08_19_overlap,ORG_000013,ORG_000015,2023-01,08,19,E_000003567,E_000003573,review_only,review,mark_mixed_or_downgrade,0.715782,0.715679,0.284218,review,,让步妥协与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。
C_000000005,LLM_MUTEX_0003,07_19_overlap,07_19_overlap,ORG_000013,ORG_000015,2023-01,07,19,E_000003566,E_000003573,review_only,review,mark_mixed_or_downgrade,0.713936,0.713817,0.286064,review,,提供援助与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。
C_000000006,LLM_MUTEX_0004,06_19_overlap,06_19_overlap,ORG_000013,ORG_000015,2023-01,06,19,E_000003565,E_000003573,review_only,review,mark_mixed_or_downgrade,0.74113,0.73924,0.25887,review,,实质合作与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。
C_000000007,LLM_MUTEX_0005,04_11_overlap,04_11_overlap,ORG_000013,ORG_000015,2023-01,04,11,E_000003563,E_000003569,review_only,review,review,0.719888,0.716892,0.280112,review,,协商磋商与反对批评可能表示复杂关系，但不宜直接判为硬冲突。
C_000000008,LLM_MUTEX_0006,05_11_overlap,05_11_overlap,ORG_000013,ORG_000015,2023-01,05,11,E_000003564,E_000003569,review_only,review,review,0.712369,0.710554,0.287631,review,,外交合作与反对批评可能表示复杂关系，但不宜直接判为硬冲突。
C_000000009,LLM_MUTEX_0007,04_19_overlap,04_19_overlap,ORG_000013,ORG_000015,2023-01,04,19,E_000003563,E_000003573,review_only,review,mark_mixed,0.719416,0.721743,0.280584,review,,协商磋商与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。
C_000000010,LLM_MUTEX_0009,03_11_overlap,03_11_overlap,ORG_000013,ORG_000015,2023-01,03,11,E_000003562,E_000003569,review_only,review,review,0.72336,0.720119,0.27664,review,,表达合作意愿与反对批评可能表示复杂关系，但不宜直接判为硬冲突。
C_000000012,LLM_MUTEX_0002,08_19_overlap,08_19_overlap,ORG_000002,ORG_000004,2023-03,08,19,E_000075003,E_000075007,review_only,review,mark_mixed_or_downgrade,0.715782,0.715679,0.284218,review,,让步妥协与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。
C_000000013,LLM_MUTEX_0005,04_11_overlap,04_11_overlap,ORG_000002,ORG_000004,2023-03,04,11,E_000075001,E_000075005,review_only,review,review,0.719888,0.716892,0.280112,review,,协商磋商与反对批评可能表示复杂关系，但不宜直接判为硬冲突。
C_000000014,LLM_MUTEX_0006,05_11_overlap,05_11_overlap,ORG_000002,ORG_000004,2023-03,05,11,E_000075002,E_000075005,review_only,review,review,0.712369,0.710554,0.287631,review,,外交合作与反对批评可能表示复杂关系，但不宜直接判为硬冲突。
C_000000015,LLM_MUTEX_0007,04_19_overlap,04_19_overlap,ORG_000002,ORG_000004,2023-03,04,19,E_000075001,E_000075007,review_only,review,mark_mixed,0.719416,0.721743,0.280584,review,,协商磋商与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。
C_000000016,LLM_MUTEX_0009,03_11_overlap,03_11_overlap,ORG_000002,ORG_000004,2023-03,03,11,E_000075000,E_000075005,review_only,review,review,0.72336,0.720119,0.27664,review,,表达合作意愿与反对批评可能表示复杂关系，但不宜直接判为硬冲突。
C_000000018,LLM_MUTEX_0002,08_19_overlap,08_19_overlap,ORG_000013,ORG_000015,2023-02,08,19,E_000040478,E_000040483,review_only,review,mark_mixed_or_downgrade,0.715782,0.715679,0.284218,review,,让步妥协与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。
C_000000019,LLM_MUTEX_0003,07_19_overlap,07_19_overlap,ORG_000013,ORG_000015,2023-02,07,19,E_000040477,E_000040483,review_only,review,mark_mixed_or_downgrade,0.713936,0.713817,0.286064,review,,提供援助与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。
C_000000020,LLM_MUTEX_0004,06_19_overlap,06_19_overlap,ORG_000013,ORG_000015,2023-02,06,19,E_000040476,E_000040483,review_only,review,mark_mixed_or_downgrade,0.74113,0.73924,0.25887,review,,实质合作与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。
C_000000021,LLM_MUTEX_0005,04_11_overlap,04_11_overlap,ORG_000013,ORG_000015,2023-02,04,11,E_000040474,E_000040479,review_only,review,review,0.719888,0.716892,0.280112,review,,协商磋商与反对批评可能表示复杂关系，但不宜直接判为硬冲突。
C_000000022,LLM_MUTEX_0006,05_11_overlap,05_11_overlap,ORG_000013,ORG_000015,2023-02,05,11,E_000040475,E_000040479,review_only,review,review,0.712369,0.710554,0.287631,review,,外交合作与反对批评可能表示复杂关系，但不宜直接判为硬冲突。
C_000000023,LLM_MUTEX_0007,04_19_overlap,04_19_overlap,ORG_000013,ORG_000015,2023-02,04,19,E_000040474,E_000040483,review_only,review,mark_mixed,0.719416,0.721743,0.280584,review,,协商磋商与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。
C_000000024,LLM_MUTEX_0009,03_11_overlap,03_11_overlap,ORG_000013,ORG_000015,2023-02,03,11,E_000040473,E_000040479,review_only,review,review,0.72336,0.720119,0.27664,review,,表达合作意愿与反对批评可能表示复杂关系，但不宜直接判为硬冲突。
C_000000026,LLM_MUTEX_0002,08_19_overlap,08_19_overlap,ORG_000013,ORG_000015,2023-03,08,19,E_000078199,E_000078204,review_only,review,mark_mixed_or_downgrade,0.715782,0.715679,0.284218,review,,让步妥协与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。
C_000000027,LLM_MUTEX_0003,07_19_overlap,07_19_overlap,ORG_000013,ORG_000015,2023-03,07,19,E_000078198,E_000078204,review_only,review,mark_mixed_or_downgrade,0.713936,0.713817,0.286064,review,,提供援助与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。
C_000000028,LLM_MUTEX_0005,04_11_overlap,04_11_overlap,ORG_000013,ORG_000015,2023-03,04,11,E_000078196,E_000078200,review_only,review,review,0.719888,0.716892,0.280112,review,,协商磋商与反对批评可能表示复杂关系，但不宜直接判为硬冲突。
C_000000029,LLM_MUTEX_0006,05_11_overlap,05_11_overlap,ORG_000013,ORG_000015,2023-03,05,11,E_000078197,E_000078200,review_only,review,review,0.712369,0.710554,0.287631,review,,外交合作与反对批评可能表示复杂关系，但不宜直接判为硬冲突。
C_000000030,LLM_MUTEX_0007,04_19_overlap,04_19_overlap,ORG_000013,ORG_000015,2023-03,04,19,E_000078196,E_000078204,review_only,review,mark_mixed,0.719416,0.721743,0.280584,review,,协商磋商与军事冲突可能表示复杂关系，通常更适合标记 mixed 或 review。
C_000000031,LLM_MUTEX_0009,03_11_overlap,03_11_overlap,ORG_000013,ORG_000015,2023-03,03,11,E_000078195,E_000078200,review_only,review,review,0.72336,0.720119,0.27664,review,,表达合作意愿与反对批评可能表示复杂关系，但不宜直接判为硬冲突。
C_000000033,LLM_MUTEX_0005,04_11_overlap,04_11_overlap,ORG_000004,ORG_000013,2023-02,04,11,E_000038179,E_000038182,review_only,review,review,0.719888,0.716892,0.280112,review,,协商磋商与反对批评可能表示复杂关系，但不宜直接判为硬冲突。
