conflict_id,constraint_id,constraint_key,constraint_name,subject_org_id,object_org_id,month,relation_a,relation_b,edge_ids_a,edge_ids_b,final_status,conflict_action,expected_action,patecon_confidence,source_weighted_confidence,violation_rate,auto_filter_status,candidate_level,reason,action,check_action,triggered_constraints,manual_is_true_conflict,manual_note
C_000008360,LLM_MUTEX_0001,08_17_overlap,08_17_overlap,ORG_000583,ORG_000012,2023-04,08,17,E_000143223,E_000143224,review_only,review,mark_mixed_or_downgrade,0.691995,0.690783,0.308005,weak_review,strong_candidate,让步妥协与强制行动通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。,review,review,08_17_overlap,,
C_000008759,LLM_MUTEX_0001,08_17_overlap,08_17_overlap,ORG_000376,ORG_000078,2023-04,08,17,E_000140511,E_000140512,review_only,review,mark_mixed_or_downgrade,0.691995,0.690783,0.308005,weak_review,strong_candidate,让步妥协与强制行动通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。,review,review,08_17_overlap,,
C_000004120,LLM_MUTEX_0005,04_11_overlap,04_11_overlap,ORG_000007,ORG_000001,2023-02,04,11,E_000038843,E_000038845,review_only,review,review,0.719888,0.716892,0.280112,review,weak_candidate,协商磋商与反对批评可能表示复杂关系，但不宜直接判为硬冲突。,review,review,04_11_overlap,,
C_000005144,LLM_MUTEX_0009,03_11_overlap,03_11_overlap,ORG_000001,ORG_000006,2023-03,03,11,E_000073991,E_000073996,review_only,review,review,0.72336,0.720119,0.27664,review,weak_candidate,表达合作意愿与反对批评可能表示复杂关系，但不宜直接判为硬冲突。,review,review,03_11_overlap,,
C_000005322,LLM_MUTEX_0001,08_17_overlap,08_17_overlap,ORG_000061,ORG_000158,2023-03,08,17,E_000086009,E_000086011,review_only,review,mark_mixed_or_downgrade,0.691995,0.690783,0.308005,weak_review,strong_candidate,让步妥协与强制行动通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。,review,review,08_17_overlap,,
C_000004102,LLM_MUTEX_0002,08_19_overlap,08_19_overlap,ORG_000005,ORG_000107,2023-01,08,19,E_000001502,E_000001504,review_only,review,mark_mixed_or_downgrade,0.715782,0.715679,0.284218,review,strong_candidate,让步妥协与军事冲突通常表示矛盾关系，同月重叠时可能表示复杂或矛盾关系。,review,review,08_19_overlap,,
C_000001056,LLM_MUTEX_0009,03_11_overlap,03_11_overlap,ORG_012445,ORG_000001,2023-02,03,11,E_000069792,E_000069797,review_only,review,review,0.72336,0.720119,0.27664,review,weak_candidate,表达合作意愿与反对批评可能表示复杂关系，但不宜直接判为硬冲突。,review,review,03_11_overlap,,
C_000001685,LLM_MUTEX_0006,05_11_overlap,05_11_overlap,ORG_013388,ORG_000014,2023-01,05,11,E_000033547,E_000033548,review_only,review,review,0.712369,0.710554,0.287631,review,weak_candidate,外交合作与反对批评可能表示复杂关系，但不宜直接判为硬冲突。,review,review,05_11_overlap,,
C_000007055,LLM_MUTEX_0006,05_11_overlap,05_11_overlap,ORG_000009,ORG_000677,2023-03,05,11,E_000077338,E_000077340,review_only,review,review,0.712369,0.710554,0.287631,review,weak_candidate,外交合作与反对批评可能表示复杂关系，但不宜直接判为硬冲突。,review,review,05_11_overlap,,
C_000005435,LLM_MUTEX_0005,04_11_overlap,04_11_overlap,ORG_000008,ORG_000259,2023-01,04,11,E_000002497,E_000002499,review_only,review,review,0.719888,0.716892,0.280112,review,weak_candidate,协商磋商与反对批评可能表示复杂关系，但不宜直接判为硬冲突。,review,review,04_11_overlap,,
